Year	N1	N2	N3	N4plus	N_total	Ns_total	CV_N	sigma2_N	sigma_N	C1	C2	C3	C4	L1	Ls1	L2	Ls2	L3	Ls3	L4	Ls4	CV_L1	sigma_L1	CV_L2	sigma_L2	CV_L3	sigma_L3	CV_L4	sigma_L4
2000	5965332523.45069	682550427.807159	275698603.572453	5640267.87797366	6929221822.70828	-0.290699867018398	0.136545132	0.0184728936636214	0.135915023686204	956895000	333066000	103050000	0	12.869923	0.4079153650766	15.3324984	0.684469270806081	16.149514	0.802337460047767	17.0429649	0.616443659256864	0.120651759980375	0.120216111221833	0.0942045478239705	0.0939965420605321	0.0847210684737374	0.084569631946023	0.0822978581872164	0.0821590175348816
2001	4169727646.97572	1325652228.34568	99750459.8444001	41310404.4044968	5636440739.5703	-0.378741437790041	0.239253927	0.055664048217378	0.235932295833737	968024000	472541000	24793000	4948000	13.1300555	0.622980221952592	15.0447596	0.387620606159241	14.6639076	-0.809651809305975	16.6873437	0.345473903559882	0.0999860736973499	0.099737522315801	0.0984830005779914	0.0982454527416378	0.119651934487527	0.119226972052772	0.0464582514865662	0.0464332122380995
2002	1354166586.93206	2253458765.10386	497809537.749324	2746666.38832896	4108181556.17357	-0.482819646241112	0.199186478	0.0389084076775838	0.197252142390352	232602000	294346000	40931000	76000	14.5014023	1.75674283627164	15.9052041	1.27530694122326	16.032817	0.675712863003912	17.5	0.964686928758078	0.0794620990583711	0.0793370908616203	0.0734248292975453	0.0733261551588251	0.0818083913107487	0.0816720073183856	NA	NA
2003	1120833296.24048	238953448.822553	103834290.495943	11110983.6700666	1474732019.22904	-0.662164035484241	0.331989815	0.104555705422294	0.323350746747698	183410000	131688000	45592000	2039000	13.4223047	0.864597599135848	15.3682071	0.721308514979179	16.9338961	1.65344817704061	16.1659042	-0.0518430559626546	0.0996843141553295	0.0994379984098974	0.127711622068728	0.127195420482828	0.112465930488198	0.112112712763078	0.131141082440208	0.130582434365106
2004	2248583686.01532	226204488.336463	116275297.602614	9706930.79026688	2600770402.74466	-0.585478052585081	0.266304765	0.0685164373478207	0.261756446621321	507391000	105751000	13597000	4614000	12.8585143	0.398483208646161	16.4462625	1.83349535215691	17.0261469	1.75354689746164	19.0036356	2.11039975799684	0.135624833297041	0.1350072973312	0.0973301714945462	0.0971008406736056	0.106174357549234	0.105876945205793	0.0516176630891302	0.0515833303132757
2005	131207231.426613	421716961.227777	99179107.523033	11070191.0755189	663173491.252942	-0.717433166900293	0.297488593	0.084800108320841	0.291204581558809	7818000	32911000	6935000	586000	13.7996409	1.17656075578537	15.1804856	0.527643716903628	16.2141366	0.872457606109159	15.7639955	-0.358082116658393	0.095499861552346	0.0952831856587903	0.11198811573089	0.111639360816886	0.116255933928832	0.115865971169334	0.153438558923706	0.152546780696152
2006	1365148397.68784	394519913.88436	109833580.749127	1587314.03868165	1871089206.36001	-0.635171136379516	0.271680402	0.0712132959611174	0.266858194479985	52612000	18163000	6785000	51000	11.6520518	-0.598961112569957	14.1290697	-0.557060208682551	15.5504729	0.152334992973136	18.2395359	1.52818500522862	0.208680973593993	0.206461145846481	0.196018944986102	0.194174218640295	0.139104661041838	0.138438701087052	0.0387678056216292	0.0387532510199805
2007	1436991569.61306	632026745.048743	96189532.76003	5003077.31536987	2170210924.7372	-0.614800211803549	0.220787416	0.0475961974499589	0.218165527638898	0	0	0	0	13.5658267	0.983254585050935	14.9812398	0.322089757317741	14.2621979	-1.2455355843054	17.6690556666667	NA	0.132072695960556	0.131502132112112	0.109638191316959	0.109310842007764	0.107121043093507	0.106815637229348	NA	NA
2008	961272941.704195	811496545.938025	249435165.415681	16565285.2285452	2038769938.28645	-0.62375166620046	0.240811147	0.0563708896480895	0.237425545483399	0	0	0	0	13.6451059	1.0487987588902	15.6449428	1.00680571940593	15.5275837	0.12749857278533	15.9066828	-0.249359850319766	0.128341796951053	0.127817961418698	0.0958175367156483	0.0955986984910382	0.0854898764786968	0.0853342907230666	0.0830887493578362	0.0829458773621342
2009	1174545863.41955	347990228.901647	377738849.258407	25160154.7492589	1925435096.32886	-0.631470047633519	0.2174894	0.0462169888796301	0.214981368680242	0	0	0	0	13.1257998	0.619461816865157	15.3562303	0.70895252723355	16.6400726	1.33462865049309	16.8742986	0.487926388336812	0.118307402388822	0.117896535122418	0.149689614337837	0.14886111754905	0.130290797146921	0.12974288008733	0.105220590621419	0.104931090148722
