Year	N1	N2	N3	N4	N5	N6	N7	N8plus	N7plus	N_total	Ns_total	CV_N	sigma2_N	sigma_N	C1	C2	C3	C4	C5	C6	L1	Ls1	L2	Ls2	L3	Ls3	L4	Ls4	L5	Ls5	L6	Ls6	L7	Ls7	L8	Ls8	L9	Ls9	L10	Ls10	CV_L1	sigma_L1	CV_L2	sigma_L2	CV_L3	sigma_L3	CV_L4	sigma_L4	CV_L5	sigma_L5	CV_L6	sigma_L6	CV_L7	sigma_L7	CV_L8	sigma_L8	CV_L9	sigma_L9	CV_L10	sigma_L10	L7plus
2000	1276312000	1559347000	1083847000	721738000	551465000	218657000	152984000	132676000	285660000	5697026000	-0.669596778657829	0.203553287	0.0405985525815286	0.201490825055457	NA	NA	NA	NA	NA	NA	16.4911854969587	0.728794471398802	19.1956859262308	0.583607840489685	20.822078331866	0.964835390871658	21.5546825682693	0.935355232747156	22.3501204425019	1.0805738332799	22.7772809805728	0.952197462743995	23.5344906760571	1.28931159028246	24.4160616200562	0.977311552823364	24.0536361402618	0.970844297513482	24.6629764144396	1.19174125824151	0.0709055656174601	0.0708166863095821	0.0534175362131651	0.0533794891545574	0.0434664755794269	0.0434459658856581	0.0414205211072055	0.041402771719926	0.0416318382850633	0.0416138160217305	0.0440814033513277	0.0440600114451703	0.0353845545429069	0.0353734860927168	0.0394995368311171	0.0394841429113303	0.0262174803676627	0.0262129768568266	0.0143353902080641	0.0143346537971363	23.9439400444182
2001	1280080000	1367856000	819203000	751576000	353970000	466190000	175124000	277453000	452577000	5491452000	-0.724757830447452	0.225218175	0.0494787140648512	0.222438112887273	NA	NA	NA	NA	NA	NA	17.2420137550465	1.23854529413346	19.3836969132192	0.757220243828474	21.5811476743279	1.72807348810841	22.217843130869	1.61928200037879	22.7399061143431	1.50150273662744	23.2430919421769	1.48507253447642	23.6696556090521	1.43549630057782	25	1.30298826576253	24.5	1.64825991314275	NA	NA	0.0812127027242828	0.0810792693539604	0.0884898617656303	0.0883173636816286	0.0477058270905237	0.0476787177214066	0.0593678551941551	0.0593156436982605	0.0394788744289054	0.0394635046408232	0.049884547468139	0.0498535552036289	0.0494034742544979	0.049373369236744	NA	NA	NA	NA	NA	NA	24.4852252078202
2002	3458311000	3585189000	1115098000	566798000	162725000	85013000	38003000	9120000	47123000	9020257000	0.222115778863458	0.185262457	0.0337463116677958	0.183701692065685	166727000	69054000	25211000	15992000	11339000	11857000	17.2685651509061	1.25657151482827	19.4653985755013	0.832664887637746	20.9212296069554	1.06453119770321	21.5038698631873	0.882951378987944	22.2935792017907	1.01951504080543	22.8273571718818	1.00948326371351	23.1735809179411	0.898977446182329	24	0.745263813791229	NA	NA	NA	NA	0.0692973522826759	0.0692143743818797	0.0770614983977111	0.0769474580065606	0.0624173243319351	0.0623566590253501	0.0592474056357753	0.0591955108858313	0.0585434926182662	0.0584934234075441	0.0383076484764082	0.0382936057485447	0.0397165361841837	0.0397008873039564	NA	NA	NA	NA	NA	NA	23.3335228152816
2003	160136000	528081000	463812000	165696000	55940000	2234000	5426000	1090000	6516000	1382415000	-1.82732334341348	0.385508024	0.138558119434809	0.372233957928088	89504000	62175000	27468000	16557000	9653000	11932000	18.346125535763	1.98814666108875	20.1591691547412	1.47330392452028	20.7605471647952	0.90296629901299	21.273379073859	0.645243002759723	21.8882783689665	0.581831340733365	22.3608190795146	0.475776374163368	22.3608190795146	0.0199524560697289	23	0.187539361819932	NA	NA	NA	NA	0.0461446560571552	0.0461201200568971	0.0338433733376401	0.0338336885160186	0.035170888350827	0.0351600191109438	0.0368104964255852	0.0367980358975011	0.0426616642092742	0.0426422720774483	0.0207917649839946	0.0207895184530561	0.0207917649839946	0.0207895184530561	NA	NA	NA	NA	NA	NA	22.4677416091845
2004	2997203000	2029661000	1606397000	706117000	467766000	283692000	95817000	61324000	157141000	8247977000	0.0148922142293594	0.266994246	0.0688597281944112	0.262411372075242	88303000	50182000	36190000	15109000	9388000	5062000	16.147535432113	0.495484255113055	19.6191797134715	0.974668891652828	20.8647604202291	1.00775188622462	21.5700877642405	0.951242826912908	22.4167074115893	1.15248099123879	22.7074653038749	0.872330227330886	23.1337571569782	0.855906918714613	23.4919801948646	0.461928746381522	23.288027477233	-0.191067117315093	NA	NA	0.0942617233591321	0.0940533398388517	0.0755440000881735	0.0754365515514856	0.0407469712709655	0.0407300732559692	0.0382777310466931	0.0382637211769573	0.0450292518148399	0.0450064511451061	0.0458753361246238	0.0458512269065276	0.0371279417564435	0.037115156232431	0.0371650730885211	0.0371522491851994	0.0151817662933847	0.0151808916063281	NA	NA	23.2735530700457
2005	2613794000	1807043000	824020000	822188000	610585000	383260000	230492000	174773000	405265000	7466155000	-0.194891726503743	0.313896549	0.0939738723195194	0.306551581825179	91416000	41512000	29112000	23005000	17992000	19290000	16.0512362412823	0.430105000635274	19.8709497892067	1.20715747456673	20.8008298526021	0.943470216472763	21.3680165180168	0.742843923155273	21.8828274831666	0.575944938159392	22.1754651271839	0.26373649364193	22.2809530829675	-0.0664248853677841	23.4690911828329	0.449162984689979	23.8143178124154	0.607647392449255	23	-0.584109579516981	0.126137357606602	0.125639904593131	0.0412250195347555	0.0412075201372552	0.0384408144316372	0.0384266248255722	0.0343653703809756	0.0343552306738579	0.0435149677713496	0.0434943894046685	0.0391922624340357	0.039177224786737	0.0488365780801236	0.0488074966897036	0.0426498052339312	0.0426304292587253	0.0338395517432012	0.0338298702006853	NA	NA	22.7933448763071
2006	605847000	2819592000	274996000	90287000	42056000	38918000	13436000	16260000	29696000	3901392000	-1.15141383757193	0.256241276	0.0635939422190613	0.252178393640417	35690000	84999000	30425000	21069000	15248000	22897000	16.3864524802046	0.657689340654452	19.1199905839884	0.513709530296428	20.4074012674822	0.547880949579759	21.4513060117519	0.828741543491162	21.9214849152029	0.61769103517832	21.5533890921533	-0.447901572255918	22.3749864659046	0.035274886445521	22.9212444344125	0.143615457162954	23.7175123400335	0.460732409886983	24.201142808955	0.698560724781432	0.0553487914142315	0.0553064715117993	0.0448793419868189	0.0448567681168684	0.0427361074585109	0.0427166137005069	0.0359091206410088	0.0358975528312238	0.0352475041411006	0.0352365637460916	0.0547641123719763	0.054723118069769	0.0512250685612791	0.0511915124964148	0.0400416006686667	0.0400255646198276	0.0378291021363694	0.0378155788681846	0.0240725251954515	0.0240690388640291	22.674089192465
2007	631471000	296092000	761271000	131707000	57856000	64658000	27165000	35554000	62719000	2005774000	-1.66005930183951	0.406701127	0.153069358298146	0.391240793243938	66796000	25893000	59269000	13055000	14157000	26105000	16.4200328672423	0.680487670013832	20.0095449477222	1.33513849815702	20.5597808827419	0.701097422835388	21.2483274006838	0.619406861672994	21.731157831749	0.412157132053676	22.6215931948897	0.774094870056931	22.9344796117565	0.640382599121442	22.6482780708	-0.00862455838942547	23.1791121320154	-0.356360417886803	24.1282836164776	0.620756219031419	0.069796922036278	0.0697121397644044	0.0514188891796204	0.0513849511377922	0.0394069994458811	0.0393917134045799	0.0489838565388934	0.048954511476976	0.0453784233683513	0.0453550885617923	0.0375590929143026	0.037545857009693	0.0383329823950668	0.0383189118030081	0.0531567605119555	0.0531192673929996	0.0670004726745633	0.0669254626184753	0.0293061368320311	0.0292998473662415	22.7722383517369
2008	3432039000	1549493000	383747000	1478305000	301616000	223603000	241521000	373181000	614702000	7983505000	-0.0560727603729989	0.469639042	0.199310449650426	0.446441989121125	165242000	72733000	27129000	42783000	13455000	33397000	16.3164972861056	0.610195499869417	19.5709958655114	0.930175142747718	20.6285595170125	0.770253784467619	21.1675727679645	0.536123478972313	22.0445735117458	0.750614207322262	22.5581150217084	0.701477566310053	22.4810871007833	0.15002573363804	22.808431712165	0.0806970434720766	23.1816769609975	-0.352467954001149	23.5665632455853	0.0209091120168233	0.0915279300531074	0.0913371043704495	0.0443881254954236	0.0443662842554324	0.0382947850701661	0.0382807564763851	0.0434950094123901	0.0434744593285385	0.0405148459487734	0.0404982349135512	0.044683275919987	0.0446609964057583	0.0506003813078673	0.0505680368645198	0.0481837168239564	0.0481557852599044	0.0470254252229764	0.0469994584219024	0.0311371490485588	0.0311296059712078	22.6798155731488
2009	6111475000	3286964000	707700000	301305000	737098000	215647000	148810000	157875000	306685000	11666874000	0.932274541179203	0.247177442	0.059302984446549	0.243522040987154	101054000	120036000	43017000	21996000	20800000	25038000	15.3982721063029	-0.0132041069223872	19.0281581538528	0.42890997067672	20.6312485907829	0.772957626439673	21.432667647207	0.809519537334521	21.6453783476107	0.319524008784939	22.3668554386835	0.482681804885854	22.7912985891145	0.485528260418902	22.6337624611906	-0.0167202688038577	22.8532968673393	-0.850827752745467	23.3794822947562	-0.178869947008777	0.11420761173458	0.113837806739309	0.0497490682244589	0.0497183275620462	0.0421504691795198	0.0421317653903066	0.0473663339261436	0.0473397987473795	0.0456362976246059	0.0456125630366608	0.0415709537004895	0.0415530103425185	0.0395934240537882	0.0395779201648354	0.0393685565472856	0.0393533151735814	0.0418764829189169	0.0418581412704134	0.0453671368085733	0.04534381939633	22.7102022974929
2010	1511640000	5227578000	1558567000	267859000	125992000	122739000	27877000	41082000	68959000	8883334000	0.185375642979588	0.183238	0.0330247932578566	0.181727249629374	39163000	110899000	60933000	19300000	15304000	45157000	15.7382200035282	0.217592641110039	18.7043657962199	0.129914841233305	20.1475123981761	0.286564789110331	21.025132100168	0.389222425140866	21.5108382953149	0.174234428483841	22.4490445285913	0.576703888499819	22.7805501920625	0.473903564024872	23.6458509901818	0.547746251374195	23.8463811007787	0.656307631740274	24.1647528182261	0.6597007656378	0.106938159630336	0.106634308934403	0.0451477146501227	0.0451247336874946	0.0488053615451811	0.0487763358381128	0.0465123103250664	0.0464871836361013	0.0614573540986279	0.0613994413179223	0.0478555094415984	0.0478281443066325	0.0405553145034648	0.0405386536719082	0.0443965931899783	0.0443747394568647	0.0500930231633745	0.0500616410610658	0.0146309541526371	0.0146301712502769	23.2960490738377
2011	1435411000	1504792000	2516162000	794842000	106115000	64749000	23433000	33899000	57332000	6479403000	-0.459663916447579	0.110519918	0.012140655364603	0.110184642144915	42534000	62501000	117791000	56629000	8531000	29528000	15.083332898921	-0.227022005150123	18.5911507130396	0.0253701920083869	19.6124403506988	-0.251445835948792	20.809000041399	0.166322408656198	21.6082834594715	0.279465300340179	22.0936158524006	0.170103149288671	22.1506949943829	-0.207302704203171	23.9878521041169	0.738488635217223	23.8017641763414	0.588595605607816	23.9751130821314	0.457189243951814	0.142868007091814	0.142146928965318	0.0414917566597619	0.0414739155950128	0.0481343923838334	0.0481065464389635	0.0497969985961063	0.0497661690769905	0.0421752573401828	0.0421565205543537	0.0499585788009067	0.0499274484733832	0.0387585079907406	0.0387439638527399	0.0185051087191614	0.018503524794988	0.0594163336757534	0.059363994333911	0.0294933658399948	0.0294869550955323	23.2369607597996
