V1	V2	V3	V4	V5	V6	V7
0.962857143	1	1	1	1	1	1
0.953995157	0.986394558	1	1	1	1	1
0.935802469	0.983388704	1	1	1	1	1
1	1	1	1	1	1	1
0.902506964	0.99690881	0.989542484	1	1	1	1
0.915697674	1	1	1	1	1	1
0.941326531	1	1	1	1	1	1
0.795212766	0.987878788	1	1	1	0.992783505	1
0.844311377	1	1	0.988031915	1	0.997879109	1
0.511538462	0.993987976	0.988543372	1	0.979971388	0.972465582	1
0.567656766	0.998019802	1	1	1	1	1
0.762773723	1	1	0.995702006	1	1	1
0.414847162	0.991051454	1	1	1	1	1
0.58490566	0.997742664	0.983870968	0.989751098	1	1	1
0.608695652	0.984269663	0.994633274	0.945249597	1	1	1
0.529411765	1	1	1	1	1	1
0.493449782	0.995412844	0.996428571	1	1	1	1
0.898305085	1	0.996233522	1	0.995821727	1	1
0.882113821	0.997685185	1	1	1	1	1
0.646511628	1	1	1	1	1	1
0.808976845	1	1	1	1	1	1
0.332922318	0.951219512	1	0.985915493	0.974358974	1	1
0.510288066	0.978902954	1	0.985714286	1	1	1
